;nomeCientifico;nomePopular;familia;categoria;clima;origem;altura;luminosidade;cicloDeVida
16;Adenium multiflorum;Lírio-impala, Rosa-do-deserto;Apocynaceae;Arbustos, Cactos e Suculentas, Flores, Flores Perenes, Plantas Esculturais, Plantas Tóxicas;Mediterrâneo, Subtropical;África, África do Sul, Malawi, Suazilândia, Zâmbia, Zimbábue;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Sol Pleno;Perene
17;Adenium obesum;Rosa-do-deserto, Adenium, Lírio-impala;Apocynaceae;Cactos e Suculentas, Flores Perenes;Continental, Equatorial, Mediterrâneo, Semi-árido, Subtropical, Tropical;África, Oriente Médio;1.2 a 1.8 metros;Sol Pleno;Perene
18;Adenium swazicum;Rosa-do-deserto-de-verão, Lírio-impala-de-verão;Apocynaceae;Cactos e Suculentas, Flores Perenes, Plantas Esculturais, Plantas Tóxicas;Mediterrâneo, Semi-árido, Subtropical, Tropical;África, África do Sul, Suazilândia;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Perene
19;Adiantum spp;Avenca, ;Pteridaceae;Folhagens;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul, Antilhas, Brasil, Estados Unidos;0.1 a 0.3 metros, 0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
20;Aechmea blanchetiana;Porto-seguro, Bromélia;Bromeliaceae;Bromélias, Flores, Flores Perenes, Folhagens;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
21;Aechmea chantinii;Bromélia-zebra, ;Bromeliaceae;Bromélias, Flores, Flores Perenes, Folhagens;Equatorial, Subtropical, Tropical;América do Sul, Brasil, Peru;0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra;Perene
22;Aechmea distichantha;Planta-vaso, Aequimea, Bromélia, Gravatá, Caraguatá, Cardo-chuza;Bromeliaceae;Bromélias, Flores, Flores Perenes, Folhagens;Oceânico, Subtropical, Tropical;América do Sul, Argentina, Brasil, Paraguai, Uruguai;0.6 a 0.9 metros;Meia Sombra;Perene
23;Aechmea fasciata;Aequimea, Bromélia-aequimea, Vaso-prateado;Bromeliaceae;Bromélias, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.3 a 0.4 metros;Meia Sombra;Perene
24;Aechmea fulgens;Bromélia-coral, Aéquimea, Bromélia;Bromeliaceae;Bromélias, Folhagens;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
25;Aeranthes arachnites;Aeranthes arachnites, ;Orchidaceae;Flores, Orquídeas;Equatorial, Oceânico, Subtropical, Tropical;África, Ilha da Reunião, Madagascar;0.1 a 0.3 metros, 0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Perene
26;Aeschynanthus radicans;Flor-batom, Planta-batom;Gesneriaceae;Flores Perenes;Equatorial, Subtropical, Tropical;Ásia;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
27;Agapanthus africanus;Agapanto, Agapantus;Agapanthaceae;Bulbosas, Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;África, África do Sul;0.6 a 0.9 metros;Sol Pleno;Perene
28;Agave americana;Agave, Pita, Pita-azul, Piteira-azul;Agavaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Semi-árido, Subtropical, Tropical;América Central, América do Sul;1.2 a 1.8 metros;Sol Pleno;Perene
29;Agave angustifolia;Piteira-do-caribe, Agave, Agave-da-borda-amarela;Agavaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Mediterrâneo, Subtropical, Tropical;América Central, América do Norte, Antilhas;0.6 a 0.9 metros, 0.9 a 1.2 metros;Sol Pleno;Perene
30;Agave attenuata;Agave-dragão, Tromba-de-elefante;Agavaceae;Arbustos, Arbustos Tropicais, Plantas Esculturais;Equatorial, Subtropical, Tropical;América do Norte, México;1.2 a 1.8 metros;Sol Pleno;Perene
31;Ageratum houstonianum;Agerato, Celestina, Erva-de-santa-lúcia, Erva-de-são-joão, Mentraço, Mentrasto;Asteraceae;Flores Anuais, Medicinal;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte, México;0.3 a 0.4 metros;Meia Sombra, Sol Pleno;Anual
32;Aglaonema spp;Aglaonema, Café-de-salão, Falso-café-de-salão;Araceae;Folhagens;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Filipinas, Oceania;0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa;Perene
33;Ajuga reptans;Ajuga, Ajugaíba, Búgula, Consolda-média, Erva-de-são-léo, Erva-de-são-lourenço, Erva-férrea, Jujuba, Língua-de-boi;Lamiaceae;Flores Perenes, Folhagens, Forrações à Meia Sombra;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, Europa;0.1 a 0.3 metros;Luz Difusa, Meia Sombra;Perene
34;Albizia julibrissin;Albizia, Albízia, Mimosa;Fabaceae;Arbustos, Árvores, Árvores Ornamentais;Continental, Equatorial, Subtropical, Tropical;África, Ásia, Austrália, Oceania;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
35;Albizia niopoides;Farinha-seca, Frando-assado, Angico-branco, Mulateira, Angico-pururuca, Canela-de-corvo, Coxa-de-frango, Farinha-seca-de-mico, Manga-do-mato, Pé-de-frango, Gurujuba;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul, Argentina, Bolívia, Brasil, Colômbia, Honduras, México, Panamá, Paraguai, Trindade e Tobago, Venezuela;9.0 a 12 metros, acima de 12 metros;;Perene
36;Albuca spiralis;Suculenta-espiral, Planta-espiral, Bloem Afrika, ;Hyacinthaceae;Bulbosas, Cactos e Suculentas, Flores, Folhagens;Mediterrâneo, Semi-árido, Subtropical, Tropical;África, África do Sul;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
37;Alcantarea imperialis;Bromélia-imperial, Bromélia-gigante;Bromeliaceae;Bromélias;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
38;Alcea rosea;Malva-rosa, Alcea, Altéia, Malva-da-índia, Malva-real, Malvaísco;Malvaceae;Flores Anuais, Medicinal;Mediterrâneo, Subtropical, Temperado;Ásia, China;0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Bienal
39;Allamanda blanchetti;Alamanda-roxa, Alamanda-cheirosa, Alamanda-rosa, Orelia, Rosa-do-campo;Apocynaceae;Trepadeiras;Mediterrâneo, Subtropical, Tropical;América do Sul, Brasil;3.0 a 3.6 metros;Sol Pleno;Perene
40;Allamanda cathartica;Alamanda, Alamanda-amarela, Carolina, Dedal-de-dama;Apocynaceae;Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;3.0 a 3.6 metros;Sol Pleno;Perene
41;Allamanda polyantha;Alamanda-de-cerca, Alamanda-ereta;Apocynaceae;Arbustos, Arbustos Tropicais, Cercas Vivas;Equatorial, Oceânico, Subtropical, Tropical;América do Sul, Brasil;1.2 a 1.8 metros, 1.8 a 2.4 metros;Sol Pleno;Perene
42;Allium cepa;Cebola, Cebolo, Cepa;Alliaceae;Medicinal, Plantas Hortícolas, Raízes e Rizomas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Bienal
43;Allium fistulosum;Cebolinha, Cebolinha-verde, Cebolinho;Alliaceae;Ervas Condimentares, Plantas Hortícolas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia, China;0.1 a 0.3 metros, 0.3 a 0.4 metros;Sol Pleno;Perene
44;Allium porrum;Alho-porró, Alho-francês, Alho-macho, Alho-poró, Alho-porro, Poró, Porro, Porro-bravo, Porro-hortense;Alliaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas, Raízes e Rizomas;Mediterrâneo, Subtropical, Temperado;Europa;0.3 a 0.4 metros;;Bienal
45;Allium schoenoprasum;Cebolinha-francesa, Cebolinho, Ceboletas-de-frança, Cebolinha, Cebolinha-galega, Cebolinha-miúda;Alliaceae;Bulbosas, Ervas Condimentares, Flores, Flores Perenes, Plantas Hortícolas;Continental, Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
46;Aloe arborescens;Babosa, Aloé, Aloé-candelabro, Aloé-do-natal, Babosa-de-arbusto, Caraguatá, Caraguatá-de-jardim, Erva-babosa, Erva-de-azebra;Asphodelaceae;Arbustos, Arbustos Tropicais, Cactos e Suculentas, Flores Perenes, Medicinal;Equatorial, Subtropical, Tropical;África, África do Sul, Malawi, Moçambique, Zimbábue;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
47;Aloe polyphylla;Babosa-espiral, Aloe-espiral;Asphodelaceae;Cactos e Suculentas, Folhagens;Equatorial, Mediterrâneo, Subtropical, Tropical;África, Lesoto;0.4 a 0.6 metros;Sol Pleno;Perene
48;Alpinia purpurata;Alpínia, Gengibre-vermelho;Zingiberaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Oceânico, Subtropical, Tropical;Ásia, Indonésia, Oceania;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
49;Alpinia zerumbet;Gengibre-concha, Alpínia, Louro-de-baiano;Zingiberaceae;Arbustos, Arbustos Tropicais;Equatorial, Subtropical, Tropical;Ásia, China, Japão;1.8 a 2.4 metros;Sol Pleno;Perene
50;Alstroemeria hybrida;Astromélia, Alstroeméria, Astroméria, Carajuru, Lírio-de-luna, Lírio-dos-incas, Lírio-peruviano, Madressilva-brasileira, Madressilva-da-terra, Madressilva-de-canteiro;Alstroemeriaceae;Bulbosas, Flores Anuais, Flores Perenes;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América do Sul, Brasil, Chile, Peru;0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Perene
51;Alternanthera ficoidea;Periquito, Apaga-fogo, Periquito-ameno;Amaranthaceae;Arbustos, Arbustos Tropicais, Folhagens, Forrações ao Sol Pleno;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.1 a 0.3 metros;Sol Pleno;Perene
52;Amaranthus tricolor;Tampala, Amaranto, Bredo, Caruru, Caruru-de-mancha;Amaranthaceae;Folhagens, Folhas e Flores, Plantas Hortícolas;Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia;0.9 a 1.2 metros;Sol Pleno;Anual
53;Amherstia nobilis;Rainha-das-árvores, Amérstia, Amércia, Rainha-das-flores, Orgulho-de-burma, Árvore-de-orquídeas;Fabaceae;Árvores, Árvores Ornamentais;Equatorial, Oceânico, Tropical;Ásia, Birmânia;9.0 a 12 metros;Sol Pleno;Perene
54;Anacardium occidentale;Caju, Cajueiro, Caju-manso, Acajaíba, Acajuíba, Caju-banana, Caju-manteiga,  Acaju, Caju-comum, Cajueiro-comum, Cajuil, Cajuzeiro, Ocaju;Anacardiaceae;Árvores, Árvores Frutíferas;Equatorial, Semi-árido, Subtropical, Tropical;América do Sul, Brasil;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros, acima de 12 metros;Sol Pleno;Perene
55;Ananas bracteatus;Abacaxi-ornamental, Abacaxi-vermelho, Ananás-ornamental, Ananás-vermelho, Ananás-de-cerca;Bromeliaceae;Arbustos, Arbustos Tropicais, Bromélias;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.6 a 0.9 metros;Meia Sombra, Sol Pleno;Perene
56;Anemone hupehensis;Anêmona -do-japão, ;Ranunculaceae;Bulbosas, Flores Perenes;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado;Ásia, China, Japão;0.6 a 0.9 metros, 0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
57;Anethum graveolens;Endro, Anega, Aneto, Dill, Funcho-bastardo;Apiaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;Ásia;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Sol Pleno;Anual
58;Angelonia angustifolia;Angelônia, ;Plantaginaceae;Flores Anuais;Continental, Equatorial, Mediterrâneo, Subtropical, Temperado, Tropical;América Central, América do Norte, América do Sul, México;0.4 a 0.6 metros;Sol Pleno;Anual, Perene
59;Annona spp;Araticum, Anona, Ata, Biribá, Cabeça-de-negro, Cherimóia, Condessa, Coração-de-boi, Coração-de-rainha, Falsa-graviola, Fruta-da-condessa, Fruta-do-conde, Fruta-pinha, Graviola, Pinha;Annonaceae;Árvores, Árvores Frutíferas, Medicinal;Equatorial, Oceânico, Subtropical, Tropical;América Central, Antilhas;3.6 a 4.7 metros, 4.7 a 6.0 metros, 6.0 a 9.0 metros, 9.0 a 12 metros;Sol Pleno;Perene
60;Anthriscus cerefolium;Cerefólio, Cerefolho, Cerefólio-das-hortas;Apiaceae;Ervas Condimentares, Medicinal, Plantas Hortícolas;Continental, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Cáucaso;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Meia Sombra;Anual
61;Anthurium andraeanum;Antúrio, ;Araceae;Flores Perenes, Forrações à Meia Sombra;Equatorial, Subtropical, Tropical;América do Sul, Colômbia;0.3 a 0.4 metros, 0.4 a 0.6 metros;Luz Difusa, Meia Sombra;Perene
62;Antigonon leptopus;Amor-agarradinho, Amor-entrelaçado, Bela-mexicana, Cipó-coral, Cipó-mel, Coralita, Georgina, Lágrima-de-noiva, Mimo-do-céu, Rosa-da-montanha, Rosália, Viuvinha;Polygonaceae;Trepadeiras;Continental, Equatorial, Mediterrâneo, Subtropical, Tropical;América do Norte, México;9.0 a 12 metros;Sol Pleno;Perene
63;Antirrhinum majus;Boca-de-leão, ;Plantaginaceae;Flores Anuais;Mediterrâneo, Subtropical, Temperado, Tropical;Europa, Mediterrâneo;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros;Sol Pleno;Anual, Perene
64;Aphelandra sinclairiana;Afelandra-coral, Afelandra, Afelandra-rosa, Camarão-laranja;Acanthaceae;Arbustos, Arbustos Tropicais;Equatorial, Oceânico, Tropical;América Central, Costa Rica, Honduras, Nicarágua, Panamá;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros, 2.4 a 3.0 metros, 3.0 a 3.6 metros, 3.6 a 4.7 metros;Meia Sombra;Perene
65;Aphelandra squarrosa;Afelandra, Afelandra-zebra, Espiga-dourada, Planta-zebra;Acanthaceae;Arbustos, Arbustos Tropicais, Flores Perenes;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros;Luz Difusa, Meia Sombra;Perene
66;Apium graveolens;Aipo, Salsão, Salsão-selvagem;Apiaceae;Ervas Condimentares, Folhas e Flores, Medicinal, Plantas Hortícolas;Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros;Meia Sombra, Sol Pleno;Bienal
67;Aptenia cordifolia;Rosinha-de-sol, ;Aizoaceae;Cactos e Suculentas, Flores Perenes, Folhas e Flores, Plantas Hortícolas;Equatorial, Oceânico, Subtropical, Temperado, Tropical;África;0.1 a 0.3 metros, menos de 15 cm;Sol Pleno;Perene
68;Aquilegia vulgaris;Aquilégia, Aquilea, Aquiléia, Colombina, Erva-pombinha, Luvas-de-nossa-senhora, Soldados;Ranunculaceae;Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Luz Difusa, Meia Sombra;Perene
69;Arachis repens;Grama-amendoim, Amedoim-forrageiro, Amendoim-rasteiro, Amendoinzinho;Fabaceae;Forrações à Meia Sombra, Forrações ao Sol Pleno;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.1 a 0.3 metros;Meia Sombra, Sol Pleno;Perene
70;Araucaria angustifolia;Pinheiro-do-paraná, Araucária, Curi, Pinheiro-brasileiro, Pinheiro-caiová, Pinheiro-das-missões, Pinheiro-são-josé;Araucariaceae;Árvores, Árvores Frutíferas, Árvores Ornamentais;Subtropical, Temperado;América do Sul, Brasil;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
71;Archontophoenix cunninghamiana;Palmeira-real, Palmeira-australiana, Palmeira-real-australiana, Palmeira-real-da-austrália, Palmeira-seafórtia, Seafórtia;Arecaceae;Palmeiras;Equatorial, Subtropical, Tropical;Austrália, Oceania;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
72;Arctium lappa;Bardana, Baldrana, Bardana-maior, Carrapicho-de-carneiro, Carrapicho-grande, Erva-dos-pega-massos, Erva-dos-tinhosos, Gobô, Labaca, Lapa, Orelha-de-gigante, Pega-nossa, Pegamassa, Pegamasso, Pegamoço, Pejamaço, Perga-masso;Asteraceae;Folhas e Flores, Medicinal, Plantas Hortícolas, Raízes e Rizomas;Mediterrâneo, Subtropical, Temperado, Tropical;Europa;0.6 a 0.9 metros, 0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Bienal
73;Ardisia crenata;Ardísia, ;Myrsinaceae;Arbustos, Arbustos Tropicais;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Temperado, Tropical;Ásia, China, Japão;1.2 a 1.8 metros;Meia Sombra, Sol Pleno;Perene
74;Areca vestiaria;Areca-dourada, Areca-de-pescoço-laranja, Palmeira-dourada;Arecaceae;Árvores, Palmeiras;Equatorial, Oceânico, Subtropical, Tropical;Indonésia;3.0 a 3.6 metros, 3.6 a 4.7 metros, 4.7 a 6.0 metros;Meia Sombra;Perene
75;Arenga pinnata;Arenga, Palmeira-arenga, Palmeira-da-malásia, Palmeira-do-açúcar, Tuaqueira, Gomuti;Arecaceae;Árvores, Palmeiras;Equatorial, Semi-árido, Subtropical, Tropical;Ásia, Malásia;acima de 12 metros;Meia Sombra, Sol Pleno;Perene
76;Argyranthemum frutescens;Margarida-de-paris, Crisântemo, Margarida, Margarida-dos-floristas, Margarida-francesa;Asteraceae;Flores Anuais, Flores Perenes;Mediterrâneo, Subtropical, Temperado, Tropical;Europa, Ilhas Canárias;0.3 a 0.4 metros;Sol Pleno;Anual, Perene
77;Argyreia nervosa;Trepadeira-elefante, Orelha-de-elefante, Rosa-de-pau;Convolvulaceae;Trepadeiras;Equatorial, Subtropical, Tropical;Ásia, Índia;9.0 a 12 metros;Meia Sombra, Sol Pleno;Perene
78;Aristolochia gigantea;Papo-de-peru, Aristolóquia, Cipó-mil-homens, Jarra-açu, Jarrinha, Mil-homens, Papo-de-peru-babada, Papo-de-peru-grande;Aristolochiaceae;Trepadeiras;Equatorial, Subtropical, Tropical;América do Sul, Brasil;2.4 a 3.0 metros;Meia Sombra, Sol Pleno;Perene
79;Arpophyllum giganteum;Orquídea-escova-de-mamadeira, Orquídea-escova-de-garrafa, Orquídea-jacinto;Orchidaceae;Flores, Orquídeas;Equatorial, Oceânico, Subtropical, Tropical;América Central, América do Norte, América do Sul, Belize, Colômbia, Costa Rica, El Salvador, Guatemala, Honduras, Jamaica, México, Nicarágua, Venezuela;0.4 a 0.6 metros, 0.6 a 0.9 metros;Luz Difusa, Meia Sombra;Perene
80;Artemisia camphorata;Cânfora-de-jardim, ;Asteraceae;Medicinal;Equatorial, Subtropical, Tropical;América do Sul, Brasil;0.3 a 0.4 metros, 0.4 a 0.6 metros;Sol Pleno;Perene
81;Artemisia dracunculus;Estragão, Erva-dragão, Estragão-Francês, Pequeno-Dragão;Asteraceae;Ervas Condimentares, Plantas Hortícolas;Continental, Equatorial, Mediterrâneo, Oceânico, Subtropical, Tropical;América Central, América do Norte, Ásia, Europa;0.3 a 0.4 metros, 0.4 a 0.6 metros, 0.6 a 0.9 metros, 0.9 a 1.2 metros;Meia Sombra, Sol Pleno;Perene
82;Artocarpus altilis;Fruta-pão, Árvore-do-pão, Castanheira, Fruta-de-pão, Fruteira-pão, Pão-de-massa, Rima;Moraceae;Árvores, Árvores Frutíferas, Medicinal;Equatorial, Oceânico, Subtropical, Tropical;Indonésia, Nova Guiné, Oceania;acima de 12 metros;Sol Pleno;Perene
83;Artocarpus heterophyllus;Jaca, Jaqueira;Moraceae;Árvores, Árvores Frutíferas;Equatorial, Subtropical, Tropical;Ásia, Índia;acima de 12 metros;Sol Pleno;Perene
84;Arundina graminifolia;Orquídea-bambu, Arundina;Orchidaceae;Flores Perenes, Orquídeas;Equatorial, Subtropical, Tropical;Ásia, Birmânia;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
85;Asarum maximum;Gengibre-cara-de-panda, Gengibre-panda;Aristolochiaceae;Bulbosas, Flores;Subtropical, Tropical;Ásia, China;0.1 a 0.3 metros, 0.3 a 0.4 metros;Luz Difusa, Meia Sombra;Perene
86;Asclepias physocarpa;Flor-borboleta, Paina-de-santa-bárbara, Paina-de-seda, Paineirinha;Asclepiadaceae;Flores Perenes;Equatorial, Subtropical, Temperado, Tropical;África, África do Sul;0.9 a 1.2 metros, 1.2 a 1.8 metros, 1.8 a 2.4 metros;Meia Sombra, Sol Pleno;Perene
